Epoch	Train Loss	Validation Loss
1	0.362861692905426	0.28531524538993835
2	0.201164111495018	0.15657059848308563
3	0.10098321735858917	0.07776875048875809
4	0.09551189094781876	0.09423239529132843
5	0.08647773414850235	0.07751967757940292
6	0.07987723499536514	0.07489517331123352
7	0.07409130781888962	0.06823600828647614
8	0.068301722407341	0.06284863501787186
9	0.06280957162380219	0.0563078410923481
10	0.05633921921253204	0.05166945233941078
11	0.05495176091790199	0.05430879443883896
12	0.053780216723680496	0.04752369970083237
13	0.04756215214729309	0.04591964930295944
14	0.04577983170747757	0.04198687523603439
15	0.04425867646932602	0.04212230443954468
16	0.04453278332948685	0.04982952028512955
17	0.04721100255846977	0.04147132858633995
18	0.04363404959440231	0.0410989411175251
19	0.04298468306660652	0.04071754589676857
20	0.04516341909766197	0.04257107153534889
21	0.04788386821746826	0.04684542864561081
22	0.04738464951515198	0.04306747764348984
23	0.04532181844115257	0.04309765622019768
24	0.04301845282316208	0.039729222655296326
25	0.04185118526220322	0.03805229067802429
26	0.04048648104071617	0.038209788501262665
27	0.040902700275182724	0.038804903626441956
28	0.04018278419971466	0.04019518941640854
29	0.03899100050330162	0.03874948248267174
30	0.041075531393289566	0.04518816992640495
