Epoch	Train Loss	Validation Loss
1	0.10148931294679642	0.08647651225328445
2	0.06404715031385422	0.07767358422279358
3	0.05925392732024193	0.07166168093681335
4	0.051513634622097015	0.05999065190553665
5	0.04005403071641922	0.04680480808019638
6	0.02618120051920414	0.03498164564371109
7	0.020472053438425064	0.031354114413261414
8	0.017854832112789154	0.03300347551703453
9	0.016694793477654457	0.02696213871240616
10	0.015684282407164574	0.025849515572190285
11	0.015117735601961613	0.028610501438379288
12	0.014835162088274956	0.02279304899275303
13	0.014693712815642357	0.02245570346713066
14	0.01398093719035387	0.021537160500884056
15	0.013275227509438992	0.02121656946837902
16	0.012314235791563988	0.02091050334274769
17	0.012360481545329094	0.02061350643634796
18	0.012312913313508034	0.020195605233311653
19	0.011904049664735794	0.019783269613981247
20	0.011633558198809624	0.020252343267202377
21	0.011563860811293125	0.019763892516493797
22	0.011478493921458721	0.01964183710515499
23	0.011647851206362247	0.01934586465358734
24	0.011737915687263012	0.019534628838300705
25	0.011051979847252369	0.021307963877916336
26	0.01112609263509512	0.018802033737301826
27	0.011060413904488087	0.019160395488142967
28	0.012714570388197899	0.01967509463429451
29	0.01092620100826025	0.018421761691570282
30	0.01084576640278101	0.018541280180215836
