Epoch	Train Loss	Validation Loss
1	0.08185447007417679	0.08626887947320938
2	0.06282386183738708	0.07630031555891037
3	0.05435485392808914	0.0656413659453392
4	0.041645828634500504	0.047298017889261246
5	0.02777954749763012	0.0363350473344326
6	0.022209040820598602	0.032579731196165085
7	0.02031697891652584	0.02981436997652054
8	0.01844783127307892	0.027549849823117256
9	0.017514599487185478	0.026511918753385544
10	0.015835339203476906	0.026787223294377327
11	0.015261664986610413	0.023511335253715515
12	0.013856629841029644	0.022327285259962082
13	0.013809273019433022	0.023077670484781265
14	0.013152183964848518	0.02358982339501381
15	0.012657053768634796	0.02107592299580574
16	0.013103443197906017	0.02332669124007225
17	0.012894623912870884	0.021492060273885727
18	0.011891130357980728	0.01994561403989792
19	0.012438694015145302	0.020035838708281517
20	0.011965258978307247	0.019514067098498344
21	0.011441275477409363	0.019696759060025215
22	0.011802955530583858	0.01921059377491474
23	0.011678573675453663	0.01983998343348503
24	0.011219779960811138	0.018961641937494278
25	0.011133749037981033	0.01968131773173809
26	0.011131813749670982	0.01890936866402626
27	0.01091756485402584	0.019113877788186073
28	0.01155699510127306	0.019116638228297234
29	0.011673074215650558	0.020212505012750626
30	0.010752067901194096	0.02095918543636799
